department_id,number_of_orders,number_of_first_orders,percentage
1,2336858,1068800,0.4573662584547285
2,38086,22583,0.5929475397783963
3,1225181,455301,0.37161937705530856
4,9888378,3455782,0.3494791562377571
5,159294,68302,0.4287794894974073
6,281155,177217,0.6303177962333943
7,2804175,971223,0.3463489261547514
8,102221,40627,0.3974427955116855
9,905340,486874,0.5377802814412265
10,35932,15196,0.42290994099966606
11,468693,317838,0.6781368614423514
12,739238,318889,0.4313752810326309
13,1956819,1277020,0.6525999594239427
14,739069,324192,0.4386491653688627
15,1114857,603540,0.5413609099642376
16,5631067,1857344,0.32983873216212845
17,774652,462205,0.5966614686336574
18,438743,185290,0.4223201281843813
19,3006412,1279337,0.4255361540600556
20,1095540,429309,0.3918697628566734
21,77396,46877,0.6056772959842885
